ATLANTA,ATL,33.636719,-84.428067
BEIJING,PEK,40.080111,116.584556
LONDON,LHR,51.4775,-0.461389
CHICAGO,ORD,41.978603,-87.904842
TOKYO,HND,35.552258,139.779694
LOS ANGELES,LAX,33.942536,-118.408075
PARIS,CDG,49.012779,2.547925
DALLAS/FORT WORTH,DFW,32.896828,-97.037997
FRANKFURT,FRA,50.026421,8.543125
HONG KONG,HKG,22.308919,113.914603
DENVER,DEN,39.861656,-104.673178
DUBAI,DXB,25.252778,55.364444
JAKARTA,CGK,-6.125567,106.655897
AMSTERDAM,AMS,52.308613,4.763889
MADRID,MAD,40.493556,-3.566764
BANGKOK,BKK,13.681108,100.747283
NEW YORK,JFK,40.639751,-73.778925
SINGAPORE,SIN,1.350189,103.994433
GUANGZHOU,CAN,23.392436,113.298786
LAS VEGAS,LAS,36.080056,-115.15225
SHANGHAI,PVG,31.143378,121.805214
SAN FRANCISCO,SFO,37.618972,-122.374889
PHOENIX,PHX,33.434278,-112.011583
HOUSTON,IAH,29.984433,-95.341442
CHARLOTTE,CLT,35.214,-80.943139
MIAMI,MIA,25.79325,-80.290556
MUNICH,MUC,48.353783,11.786086
KUALA LUMPUR,KUL,2.745578,101.709917
ROME,FCO,41.804475,12.250797

ISTANBUL,IST,40.976922,28.814606
